park,site,sample_number,absorbance_664nm_unacidified,absorbance_750nm_unacidified,absorbance_665nm_acidified,absorbance_750nm_acidified
,standard,1,0.008,0,0.021,0.025
GM,MAC,1,0.007,0,0.008,0.005
GM,MAC,2,0.008,0,1.834,1.815
GM,MAC,3,0.007,0,2.348,2.328
GM,LOM,1,0.022,0,1.83,1.81
GM,LOM,2,0.06,0.028,1.824,1.8
GM,LOM,3,0.552,0.464,2.05,1.969
GM,TUK,1,0.828,0.806,1.938,1.887
GM,TUK,2,0.063,0,1.377,1.337
GM,TUK,3,0.144,0,2.083,1.982
GM,GMS,1,0.031,0,2.378,2.329
GM,GMS,2,0.025,0,1.054,1.02
GM,GMS,3,0.017,0,2.109,2.086
GM,HOR,1,0.008,0,2.496,2.5
GM,MAS,1,0.014,0.001,0.317,0.295
GM,MAS,2,0.004,0.002,0.113,0.111
GM,MAS,3,0.008,0.003,0.59,0.56
TN,GTG,1,0.006,0.001,2.249,2.221
TN,GTG,2,0.03,0.003,1.282,1.224
GM,SLA,1,0.021,0.001,2.179,2.153
GM,SLA,1,0.021,0.001,2.352,2.323
,blank,2,0,0.001,0.641,0.633
,standard,2,0.008,0,0.316,0.311
GM,SLA,2,0.019,0.004,2.23,2.201
GM,SLA,3,0.041,0.002,2.114,2.081
GM,MIT,1,0.02,0.001,0.156,0.153
GM,MIT,2,0.009,0.001,1.98,1.965
GM,MIT,3,0.032,0.002,1.918,1.882
GM,MIT,4,0.042,0.002,2.231,2.198
GM,RHB,1,0.028,0.001,2.41,2.386
GM,RHB,2,0.009,0.001,1.946,1.93
GM,RHB,3,0.011,0.001,2.122,2.1
GM,HCT,1,0.011,0.001,1.402,1.388
GM,HCT,2,0.007,0.001,1.502,1.508
GM,HCT,3,0.012,0.001,2.338,2.317
GM,CCR,1,0.008,0,1.442,1.413
GM,CCR,2,0.009,0.001,2.3,2.283
GM,CCR,3,0.023,0.001,1.998,1.974
GM,WAT,1,0.022,0.001,1.866,1.844
GM,WAT,2,0.009,0.001,1.893,1.906
GM,WAT,3,0.005,0.002,3.329,2.289
GM,BRY,1,0.03,0.001,0.543,0.545
,blank,3,0,0.001,0.204,0.206
,standard,3,0.008,0.001,2.421,2.405
GM,BRY,2,0.004,0.001,2.385,2.368
GM,BRY,3,0.179,0.168,2.008,1.987
GM,BER,1,0.024,0.007,1.928,1.902
GM,BER,2,0.019,0.001,1.787,1.765
GM,BER,3,0.02,0.001,1.613,1.59
GM,BER,3,0.02,0.001,2.306,2.278
TN,TIC,1,0.027,0.016,2.221,2.206
TN,TIC,2,0.025,0.001,2.074,2.045
TN,TIC,3,0.013,0.001,2.033,2.008
TN,BFF,1,0.017,0.001,1.818,1.791
TN,BFF,2,0.187,0.15,2.43,2.414
TN,BFF,3,0.047,0.002,2.407,2.361
TN,JUS,1,0.013,0.001,1.97,1.954
TN,JUS,2,0,0,2.079,2.058
TN,JUS,3,0.012,0.001,2.229,2.21
TN,JUS,3,0.012,0.001,2.235,2.211
TN,BLD,1,0.016,0.001,0.459,0.453
TN,BLD,2,0.013,0.001,1.725,1.699
TN,BLD,3,0.028,0.001,1.74,1.719
TN,RPS,1,0.001,0.001,0.239,0.246
,blank,4,0.009,0.001,0.833,0.807
,standard,4,0.058,0.001,2.144,2.09
TN,RPS,2,0.039,0.002,1.89,1.848
TN,RPS,3,0.015,0.002,3.288,2.26
TN,SPK,1,0.038,0.002,2.087,2.049
TN,SPK,2,0.014,0.002,1.965,1.922
TN,SPK,3,0.032,0.002,2.04,2.007
TN,BIG,1,0.085,0.082,1.932,1.915
TN,BIG,2,0.009,0.002,1.935,1.913
TN,BIG,3,0.006,0.002,2.209,2.19
TN,BIG,3,0.006,0.002,2.439,2.419
TN,SQR,1,0.013,0.003,2.289,2.223
TN,SQR,2,0.02,0.002,2.171,2.141
TN,SQR,3,0.011,0.002,2.208,2.188
TN,DAV,1,0.008,0.002,2.068,2.043
TN,DAV,2,0.008,0.002,2.031,2.011
TN,DAV,3,0.006,0.002,1.922,1.902
TN,SAL,1,0.005,0.001,1.94,1.915
TN,SAL,2,0.011,0.002,1.809,1.781
TN,SAL,3,0.006,0.001,1.736,1.715
TN,ARB,1,0.056,0.015,1.874,1.828
TN,ARB,2,0.016,0.002,2.02,2.175
,blank,5,0.001,0.002,0.124,0.127
,standard,5,0.01,0.002,1.075,1.063
TN,ARB,3,0.029,0.003,2.105,2.075
TN,CHR,1,0.011,0.003,2.111,2.087
TN,CHR,2,0.129,0.126,0.131,0.129
TN,CHR,3,0.017,0.003,2.171,2.14
TN,SWR,1,0.022,0.002,2.14,2.114
TN,SWR,1,0.022,0.002,1.999,1.969
TN,SWR,2,0.048,0.003,0.787,0.714
TN,SWR,3,0.053,0.023,2.093,2.049
,standard,6,0.01,0.002,0.414,0.398
