date,park,site,sample_number,foil_mass,notes
7/5/2022,GM,MIT,1,8.327,6 rocks combined! Not properly divided into 1 rock per weigh boat
7/8/2022,GM,SLA,1,1.202,
7/8/2022,GM,SLA,2,1.248,
7/8/2022,GM,SLA,3,1.525,
7/8/2022,GM,RHB,1,1.01,
7/8/2022,GM,RHB,2,1.675,
7/8/2022,GM,RHB,3,1.162,
7/11/2022,GM,TUK,1,1.32,
7/11/2022,GM,TUK,2,1.163,
7/11/2022,GM,TUK,3,0.923,
7/11/2022,GM,GMS,1,1.916,
7/11/2022,GM,GMS,2,1.539,
7/11/2022,GM,GMS,3,1.041,
7/12/2022,GM,MAC,1,1.599,
7/12/2022,GM,MAC,2,1.364,
7/12/2022,GM,MAC,3,0.875,
7/12/2022,GM,LOM,1,1.054,
7/12/2022,GM,LOM,2,1.062,
7/12/2022,GM,LOM,3,1.756,
7/13/2022,GM,HOR,1,2.934,
7/13/2022,GM,MAS,1,0.765,
7/13/2022,GM,MAS,2,1.306,
7/13/2022,GM,MAS,3,1.078,
7/14/2022,GM,BRY,1,1.41,
7/14/2022,GM,BRY,2,0.798,
7/14/2022,GM,BRY,3,0.85,
7/15/2022,GM,BER,1,0.813,
7/15/2022,GM,BER,2,1.213,
7/15/2022,GM,BER,3,1.549,
7/18/2022,GM,CCR,1,1.176,
7/18/2022,GM,CCR,2,1.264,
7/18/2022,GM,CCR,3,1.785,
7/18/2022,GM,WAT,1,1.922,
7/18/2022,GM,WAT,2,1.506,
7/18/2022,GM,WAT,3,1.437,
7/19/2022,GM,HCT,1,0.908,
7/19/2022,GM,HCT,2,0.849,
7/19/2022,GM,HCT,3,0.888,
7/27/2022,TN,CHR,1,1.051,
7/27/2022,TN,CHR,2,1.269,
7/27/2022,TN,CHR,3,1.122,
7/27/2022,TN,ARB,1,1.353,
7/27/2022,TN,ARB,2,1.679,
7/27/2022,TN,ARB,3,1.296,
7/27/2022,TN,SAL,1,0.622,
7/27/2022,TN,SAL,2,0.935,
7/27/2022,TN,SAL,3,1.094,
7/28/2022,TN,SWR,1,1.666,
7/28/2022,TN,SWR,2,1.372,
7/28/2022,TN,SWR,3,1.045,
7/28/2022,TN,SQR,1,0.924,
7/28/2022,TN,SQR,2,0.76,
7/28/2022,TN,SQR,3,0.868,
7/28/2022,TN,DAV,1,0.828,
7/28/2022,TN,DAV,2,0.836,
7/28/2022,TN,DAV,3,0.588,
7/29/2022,TN,SPK,1,1.35,
7/29/2022,TN,SPK,2,1.221,
7/29/2022,TN,SPK,3,0.87,
8/1/2022,TN,RPS,1,1.069,
8/1/2022,TN,RPS,2,0.707,
8/1/2022,TN,RPS,3,0.896,
8/1/2022,TN,BIG,1,0.709,
8/1/2022,TN,BIG,2,0.752,
8/1/2022,TN,BIG,3,0.707,
8/2/2022,TN,BLD,1,0.908,
8/2/2022,TN,BLD,2,0.562,
8/2/2022,TN,BLD,3,0.682,
8/2/2022,TN,JUS,1,0.859,
8/2/2022,TN,JUS,2,0.955,
8/2/2022,TN,JUS,3,0.934,
8/3/2022,TN,TIC,1,1.196,
8/3/2022,TN,TIC,2,0.899,
8/3/2022,TN,TIC,3,1.132,
8/3/2022,TN,BFF,1,0.859,
8/3/2022,TN,BFF,2,0.919,
8/3/2022,TN,BFF,3,1.075,
8/4/2022,TN,GTG,1,1.739,
8/4/2022,TN,GTG,2,1.316,
8/4/2022,TN,GTG,3,1.224,
