park,site,sample_number,sample_volume,dry_mass,afdm,notes
GM,MAC,1,3004,0.102,0.098,
GM,LOM,1,2978,0.104,0.099,
GM,TUK,1,2255,0.102,0.1,
GM,GMS,1,2340,0.1,0.1,stuck to weigh boat. Had to scrape off
GM,HOR,1,735,0.102,0.097,
GM,HOR,2,2410,0.102,0.098,stuck to weigh boat. Had to scrape off
GM,MAS,1,965,0.102,0.093,"filter stuck to weigh boat, scraped and added to mass"
GM,MAS,2,695,0.1,0.1,stuck to weigh boat. Had to scrape off
TN,GTG,1,865,0.101,0.098,
TN,GTG,2,855,0.099,0.099,stuck to weigh boat. Had to scrape off
GM,SLA,1,1015,0.101,0.097,"filter stuck to weigh boat, scraped and added to mass"
GM,SLA,2,1045,0.101,0.096,"filter stuck to weigh boat, scraped and added to mass"
GM,SLA,3,1070,0.101,0.1,stuck to weigh boat. Had to scrape off
GM,MIT,1,975,0.103,0.099,
GM,MIT,2,752.25,0.102,0.097,"filter stuck to weigh boat, scraped and added to mass"
GM,MIT,3,407.5,0.101,0.101,
GM,RHB,1,1070,0.104,0.1,"filter stuck to weigh boat, scraped and added to mass"
GM,RHB,2,2160,0.104,0.102,stuck to weigh boat. Had to scrape off
GM,HCT,1,3285,0.102,0.098,"filter stuck to weigh boat, scraped and added to mass"
GM,CCR,1,2015,0.105,0.105,
GM,WAT,1,1975,0.099,0.1,stuck to weigh boat. Had to scrape off
GM,BRY,1,2910,0.199,0.198,"has 2 filters??? Should have been filtered onto 1. Assuming that they were doubled by accident, will measure them separately and combine mass"
GM,BER,1,1710,0.112,0.104,stuck to weigh boat. Had to scrape off
TN,TIC,1,1970,0.102,0.099,
TN,TIC,2,815,0.101,0.098,
TN,BFF,1,1295,0.103,0.1,
TN,BFF,2,1385,0.1,0.097,
TN,JUS,1,905,0.101,0.096,
TN,JUS,2,1005,0.1,0.102,stuck to weigh boat. Had to scrape off
TN,BLD,1,1035,0.101,0.096,
TN,BLD,2,1035,0.102,0.099,stuck to weigh boat. Had to scrape off
TN,RPS,1,1180,0.103,0.101,
TN,RPS,2,970,0.1,0.1,stuck to weigh boat. Had to scrape off
TN,SPK,1,850,0.102,0.094,
TN,SPK,2,840,0.097,0.099,
TN,BIG,1,1405,0.1,0.1,stuck to weigh boat. Had to scrape off
TN,BIG,2,1200,0.1,0.101,stuck to weigh boat. Had to scrape off
TN,SQR,1,990,0.111,0.103,
TN,DAV,1,1440,0.109,0.102,
TN,SAL,1,2050,0.1,0.1,
TN,ARB,1,845,0.105,0.098,
TN,CHR,1,1025,0.1,0.101,stuck to weigh boat. Had to scrape off
TN,SWR,1,1070,0.097,0.094,stuck to weigh boat. Had to scrape off
