park,site,sample,ph,temperature,ec,tds,alkalinity,turbidity
GM,MIT,1,6.78,16.5,27,14,15,2.5
GM,MIT,2,6.79,16.3,26,13,11,0
GM,MIT,3,6.81,16.2,27,13,,
GM,SLA,1,7.36,18.2,93,47,30,7.5
GM,SLA,2,7.45,18.1,92,46,30,5
GM,SLA,3,7.47,18,92,46,,
GM,GMS,1,5.47,13.6,21,10,21,5
GM,GMS,2,5.34,13.4,20,10,18,5
GM,GMS,3,5.33,13.4,20,10,,
GM,BER,1,7.59,17.4,142,71,63,5
GM,BER,2,7.62,17.2,140,70,65,2.5
GM,BER,3,7.64,17.3,139,70,,
GM,BRY,1,7.85,16.9,221,110,125,2.5
GM,BRY,2,7.91,16.7,216,105,125,2.5
GM,BRY,3,7.92,16.7,216,105,,
GM,TUK,1,6.52,16.1,49,25,29,0
GM,TUK,2,6.58,15.7,58,25,30,0
GM,TUK,3,6.61,25.6,49,24,,
GM,CCR,1,7.11,20.1,40,20,25,2.5
GM,CCR,2,7.14,19.9,40,20,25,2.5
GM,CCR,3,7.15,19.9,39,20,,
GM,MAS,1,6.45,25.5,45,23,16,0
GM,MAS,2,6.46,25.3,44,23,18,0
GM,MAS,3,6.46,25.3,45,23,,
GM,MAC,1,7.32,18.3,72,36,20,2.5
GM,MAC,2,7.38,18,72,36,25,5
GM,MAC,3,7.4,17.9,72,36,,
GM,WAT,1,7.75,18.6,171,87,85,2.5
GM,WAT,2,7.86,18.2,144,72,95,2.5
GM,WAT,3,7.92,18.1,141,71,,
GM,HOR,1,7.91,17,240,121,55,2.5
GM,HOR,2,7.97,16.6,241,119,65,2.5
GM,HOR,3,8,16.6,237,119,,
GM,LOM,1,8.15,13.1,245,123,95,2.5
GM,LOM,2,8.21,12.5,243,122,95,2.5
GM,LOM,3,8.24,12.3,241,121,,
GM,HCT,1,7.18,19.3,40,20,35,2.5
GM,HCT,2,7.18,19.1,40,20,45,2.5
GM,HCT,3,7.17,19.1,40,20,,
GM,RHB,1,7.97,22.6,183,91,110,2.5
GM,RHB,2,8.03,22.4,180,90,80,5
GM,RHB,3,8.04,22.4,180,90,,
TN,ARB,1,7.23,21.3,66,33,20,2.5
TN,ARB,2,7.31,20.9,64,32,20,5
TN,ARB,3,7.35,20.8,63,32,,
TN,CHR,1,7,20.4,31,15,10,2.5
TN,CHR,2,7.01,20.4,30,15,12,2.5
TN,CHR,3,6.99,20.3,30,15,,
TN,SAL,1,6.97,21.1,44,22,15,2.5
TN,SAL,2,6.98,20.5,42,21,15,5
TN,SAL,3,7.01,20.4,42,21,,
TN,SQR,1,7.23,17.1,456,227,44,5
TN,SQR,2,7.36,16.8,452,225,45,5
TN,SQR,3,7.43,16.8,451,225,,
TN,SWR,1,7.06,21.3,59,39,15,0
TN,SWR,2,7.11,21.2,56,28,18,0
TN,SWR,3,7.11,21.2,55,27,,
TN,DAV,1,7,16,61,31,20,2.5
TN,DAV,2,7.01,15.9,60,30,18,2.5
TN,DAV,3,7.02,15.8,59,30,,
TN,SPK,1,6.65,19.8,28,14,10,2.5
TN,SPK,2,6.69,19.8,24,12,8,2.5
TN,SPK,3,6.65,19.9,22,11,,
TN,RPS,1,7.12,18,156,77,15,2.5
TN,RPS,2,7.14,17.8,153,76,12,2.5
TN,RPS,3,7.15,17.7,152,76,,
TN,BIG,1,6.94,25.5,46,23,17,2.5
TN,BIG,2,6.96,25,45,23,16,2.5
TN,BIG,3,6.95,24.9,45,22,,
TN,JUS,1,6.78,23.4,38,19,17,5
TN,JUS,2,6.83,23.2,37,18,16,5
TN,JUS,3,6.83,23.1,37,18,,
TN,BLD,1,6.89,17,46,23,21,2.5
TN,BLD,2,6.9,16.6,46,23,20,0
TN,BLD,3,6.93,16.5,46,23,,
TN,BFF,1,7.03,24.7,51,25,17,5
TN,BFF,2,7.14,24.4,49,24,18,5
TN,BFF,3,7.15,24.3,49,24,,
TN,TIC,1,7.13,19.7,32,16,16,2.5
TN,TIC,2,7.14,19.5,31,16,15,2.5
TN,TIC,3,7.17,19.5,31,16,,
TN,GTG,1,6.96,19.5,39,19,16,5
TN,GTG,2,7,19.4,38,19,17,7.5
TN,GTG,3,6.99,19.3,37,18,,
