"park","site","canopy","ph","temperature","conductivity","tds","alkalinity","doc","tn","wolmanD50","embeddedness","depth","wetted_width","bankful_width","flow","periphyton_biomass"
"GM","MIT",35.2494174217309,0.0152752523165191,0.152752523165195,0.577350269189626,0.577350269189626,2.82842712474619,0.414747207542997,0.067118668559279,2.88805883568598,29.9304749934466,0.14506703431326,1.35951625383606,1.35951625383606,1.05776970934348,NA
"GM","RHB",12.9366082623435,0.0378593889720015,0.115470053837927,1.73205080756888,0.577350269189626,21.2132034355964,0.698526273205162,0.0125361640586706,1.50859490449179,12.9099444873581,0.0948683298050514,0.391248003189793,0.391248003189793,0.816520962058833,0.114692479392856
"GM","TUK",16.7374206495505,0.0458257569495588,5.60386771197655,5.19615242270663,0.577350269189626,0.707106781186548,0.492823155646432,0.0374429875906621,5.21675621958181,26.8741924943285,0.129538487640623,1.09106762917272,1.22802441182737,0.0821245666316996,0.705126995865085
"GM","SLA",27.7900281875832,0.0585946527708229,0.0999999999999996,0.577350269189626,0.577350269189626,0,2.26441215799974,0.140119258311963,4.0868846647081,24.0601099101581,0.10219930024074,0.801014508248285,0.801014508248285,0.272823033132116,0.0554673817945169
"GM","GMS",7.8589651566433,0.0781024967590664,0.115470053837925,0.577350269189626,0,2.12132034355964,2.00783374771978,0.0355398769585982,3.54481911728334,31.2916389258643,0.0278687399547713,0.143759057685652,0.107827021968831,0.291092291588462,0.000740338638452805
"GM","BER",6.68904577150832,0.0251661147842358,0.0999999999999996,1.52752523165195,0.577350269189626,1.4142135623731,3.5496694242734,0.0466076180645834,3.58305767151922,30.3746448146978,0.0309838667696593,0.212978872191586,0.212978872191586,2.24992098626695,0.0398772102757121
"GM","BRY",4.66047207909242,0.037859388972002,0.115470053837925,2.88675134594813,2.88675134594813,0,1.30450051796818,0.0296980926827505,3.26566156460608,32.9140294302192,0.0314112506383727,0.360776939396076,0.360776939396076,0.151302982761718,0.0822998444151197
"GM","CCR",7.72956599533185,0.0208166599946612,0.115470053837927,0.577350269189626,0,0,42.3148060130394,0.0562810113508221,2.03315945605291,17.4801474695025,0.267282142294886,0.523619062942635,1.37740186490214,0.689603348148614,0.0325972138249455
"GM","MAS",6.35793467513888,0.00577350269189613,0.115470053837925,0.577350269189626,0,1.4142135623731,7.65823454079174,0.324584397220937,3.12305449644336,13.6930639376292,0.0444597195972564,0.456888024210163,0.456888024210163,1.63161814704844,0.0799828219673648
"GM","MAC",13.0603598725303,0.0416333199893226,0.208166599946614,0,0,3.53553390593274,0.724793413483709,0.0278780828551524,2.68542413464454,27.9508497187474,0.070427267446636,0.731956282847548,0.290975371237269,0.89022053031403,0.0178051404338124
"GM","WAT",13.8860601563823,0.0862167810425171,0.264575131106459,16.5227116418583,8.9628864398325,7.07106781186548,1.10142954692324,0.0377726402484999,3.87632023778462,27.5126233653653,0.0577638872191499,0.472863616701475,0.840104160208721,2.10146575830617,0.0437388653249772
"GM","HOR",15.6869220629645,0.0458257569495583,0.230940107675849,2.08166599946613,1.15470053837925,7.07106781186548,1.2235499957555,0.126570565134413,2.60582098968886,24.8607231502938,0.0827482490888643,0.475172695879183,1.60628651355739,0.194895508566153,NA
"GM","LOM",10.4865673715518,0.0458257569495584,0.416333199893226,2,1,0,0.776905969263923,0.0704732678316412,2.56424521747697,23.7170824512628,0.148474566743591,0.962811539506076,0.975369393894157,1.17615939647903,0.146143398536834
"GM","HCT",14.156237057179,0.00577350269189613,0.115470053837925,0,0,7.07106781186548,1.36303174254539,0.0583611851172011,2.00249843945008,26.3523138347365,0.0988601706114921,1.88904561441309,0.54922672913834,0.376175934016695,0.0270075535318995
"TN","ARB",4.83045891539648,0.0611010092660774,0.264575131106459,1.52752523165195,0.577350269189626,0,2.42304022291892,0.172517816485842,2.6116290051625,28.3823106098773,0.0413118223595458,0.566274374015518,0.566274374015518,0.480651563948279,0.107478034923452
"TN","CHR",0.526940856896357,0.00999999999999979,0.0577350269189613,0.577350269189626,0,1.4142135623731,0.851295415476747,0.0965115256220868,3.3859334687122,32.167098442698,0.0587603418793473,0.108972473588517,0.108972473588517,0.690917934774161,0.0494624472610223
"TN","SAL",6.37965516309463,0.0208166599946612,0.37859388972002,1.15470053837925,0.577350269189626,0,4.60053991272226,0.241294889433354,2.66308471551699,15.8113883008419,0.0526782687642637,0.264575131106459,0.264575131106459,0.884355278866621,0.0250031686538622
"TN","SWR",9.77459352461413,0.0288675134594817,0.0577350269189634,2.08166599946613,6.65832811847939,2.12132034355964,1.84723489079848,0.161097651882059,9.36075517112468,17.4801474695025,0.0993120274079569,0.390803368367358,0.73402171547433,4.64383143216573,0.107105720653565
"TN","SQR",18.5022521151706,0.101488915650922,0.173205080756888,2.64575131106459,1.15470053837925,0.707106781186548,4.13134610007926,0.282090442391358,2.61935299282287,32.9140294302192,0.0519294393062997,0.549545266561363,0.549545266561363,4.16501878524953,0.0739304781748172
"TN","DAV",8.09835374217089,0.00999999999999979,0.0999999999999996,1,0.577350269189626,1.4142135623731,1.33122866285208,0.19753126734263,2.53163818883977,31.6227766016838,0.0332665998663324,0.609021072432364,0.508592829940284,1.52934384380773,0.00233384623446377
"TN","SPK",28.0886097911591,0.0230940107675851,0.0577350269189613,3.05505046330389,1.52752523165195,1.4142135623731,0.834781182274917,0.0319869674888267,2.04443072019987,29.3446947694317,0.0338624669312008,0.408052284231649,0.408052284231649,1.22283974299049,0.123210762363868
"TN","RPS",32.9631157507903,0.0152752523165195,0.152752523165195,2.08166599946613,0.577350269189626,2.12132034355964,1.58598471952986,0.108765126737267,1.5254077116852,27.0030862433661,0.0518277060182207,0.814616474176652,0.633462706084581,0.284274580356804,0.261551348798435
"TN","BIG",17.7690692336029,0.00999999999999979,0.321455025366432,0.577350269189626,0.577350269189626,0.707106781186548,0.735858252320654,0.0428230883346646,3.21692179864321,20.4124145231932,0.0620117290958295,0.865850431481656,0.541602560309064,0.324167023707316,0.021219880953697
"TN","JUS",15.8166051983351,0.0288675134594812,0.152752523165193,0.577350269189626,0.577350269189626,0.707106781186548,1.44980379016182,0.0737027841383726,4.45339502769822,28.9875452182101,0.0450555213042752,0.322490309931942,0.322490309931942,0.675642355534785,0.0123782605000474
"TN","BLD",6.95988505652212,0.0208166599946612,0.264575131106459,0,0,0.707106781186548,2.50211407218203,0.132268514732289,2.80086566704804,26.8741924943285,0.0571839138219832,0.693301281310417,0.515751878329105,0.885381273802422,0.118976929560314
"TN","BFF",0,0.0665832811847938,0.208166599946613,1.15470053837925,0.577350269189626,0.707106781186548,0.86775923022363,0.0849961845378947,1.83556338198737,29.3446947694317,0.045924839782964,1.96761661700524,2.23620349266476,1.72884863206488,0.126904285163596
"TN","TIC",9.12302946759829,0.0208166599946614,0.115470053837925,0.577350269189626,0,0.707106781186548,2.20679520174883,0.0464843632965455,2.33497777550905,17.6776695296637,0.0551764845241562,0.609487489617301,0.801171017948103,0.421904851481591,0.0950840115664703
"TN","GTG",9.02824272307001,0.0208166599946614,0.0999999999999996,1,0.577350269189626,0.707106781186548,0.597230275560152,0.0487972515143012,1.8051273773573,24.8607231502938,0.0413118223595458,0.240222119436714,0.240222119436714,1.15308443043157,0.121987406681976
